Survived,Age,Fare,FamilySize,IsAlone,male,Pclass_2,Pclass_3,Embarked_Q,Embarked_S
1,29.0,7.8958,1,1,True,False,True,False,False
0,65.0,26.55,1,1,True,False,False,False,True
1,28.0,51.8625,2,0,False,False,False,False,True
1,50.0,10.5,1,1,False,True,False,False,True
0,28.0,7.75,1,1,True,False,True,True,False
1,48.0,26.55,1,1,True,False,False,False,True
0,34.0,8.05,1,1,True,False,True,False,True
0,47.0,38.5,1,1,True,False,False,False,True
0,48.0,13.0,1,1,True,True,False,False,True
0,28.0,8.05,1,1,True,False,True,False,True
0,38.0,7.05,1,1,True,False,True,False,True
0,28.0,0.0,1,1,True,True,False,False,True
0,56.0,26.55,1,1,True,False,False,False,True
0,28.0,7.725,1,1,True,False,True,True,False
1,0.75,19.2583,4,0,False,False,True,False,False
0,28.0,7.25,1,1,True,False,True,False,True
0,38.0,8.6625,1,1,True,False,True,False,True
1,33.0,27.75,4,0,False,True,False,False,True
1,23.0,13.7917,1,1,False,True,False,False,False
0,22.0,9.8375,1,1,False,False,True,False,True
0,28.0,52.0,1,1,True,False,False,False,True
0,34.0,21.0,2,0,True,True,False,False,True
0,29.0,7.0458,2,0,True,False,True,False,True
0,22.0,7.5208,1,1,True,False,True,False,True
1,2.0,12.2875,2,0,False,False,True,False,True
0,9.0,46.9,8,0,True,False,True,False,True
0,28.0,0.0,1,1,True,True,False,False,True
0,50.0,8.05,1,1,True,False,True,False,True
1,63.0,9.5875,1,1,False,False,True,False,True
1,25.0,91.0792,2,0,True,False,False,False,False
0,28.0,25.4667,5,0,False,False,True,False,True
1,35.0,90.0,2,0,False,False,False,False,True
0,58.0,29.7,1,1,True,False,False,False,False
0,30.0,8.05,1,1,True,False,True,False,True
1,9.0,15.9,3,0,True,False,True,False,True
0,28.0,19.9667,2,0,True,False,True,False,True
0,21.0,7.25,1,1,True,False,True,False,True
0,55.0,30.5,1,1,True,False,False,False,True
0,71.0,49.5042,1,1,True,False,False,False,False
0,21.0,8.05,1,1,True,False,True,False,True
0,28.0,14.4583,1,1,True,False,True,False,False
1,54.0,78.2667,2,0,False,False,False,False,False
0,28.0,15.1,1,1,True,False,True,False,True
0,25.0,151.55,4,0,False,False,False,False,True
0,24.0,7.7958,1,1,True,False,True,False,True
0,17.0,8.6625,1,1,True,False,True,False,True
0,21.0,7.75,1,1,False,False,True,True,False
0,28.0,7.6292,1,1,False,False,True,True,False
0,37.0,9.5875,1,1,False,False,True,False,True
1,16.0,86.5,1,1,False,False,False,False,True
0,18.0,108.9,2,0,True,False,False,False,False
1,33.0,26.0,3,0,False,True,False,False,True
1,28.0,26.55,1,1,True,False,False,False,True
0,28.0,22.525,1,1,True,False,True,False,True
1,26.0,56.4958,1,1,True,False,True,False,True
1,29.0,7.75,1,1,True,False,True,True,False
0,28.0,8.05,1,1,True,False,True,False,True
1,36.0,26.2875,1,1,True,False,False,False,True
1,54.0,59.4,2,0,False,False,False,False,False
0,24.0,7.4958,1,1,True,False,True,False,True
0,47.0,34.0208,1,1,True,False,False,False,True
1,34.0,10.5,1,1,False,True,False,False,True
0,28.0,24.15,1,1,True,False,True,True,False
1,36.0,26.0,2,0,False,True,False,False,True
0,32.0,7.8958,1,1,True,False,True,False,True
1,30.0,93.5,1,1,False,False,False,False,True
0,22.0,7.8958,1,1,True,False,True,False,True
0,28.0,7.225,1,1,True,False,True,False,False
1,44.0,57.9792,2,0,False,False,False,False,False
0,28.0,7.2292,1,1,True,False,True,False,False
0,40.5,7.75,1,1,True,False,True,True,False
1,50.0,10.5,1,1,False,True,False,False,True
0,28.0,221.7792,1,1,True,False,False,False,True
0,39.0,7.925,1,1,True,False,True,False,True
0,23.0,11.5,4,0,True,True,False,False,True
1,2.0,26.0,3,0,False,True,False,False,True
0,28.0,7.2292,1,1,True,False,True,False,False
0,17.0,7.2292,3,0,True,False,True,False,False
1,28.0,22.3583,3,0,False,False,True,False,False
0,30.0,8.6625,1,1,False,False,True,False,True
1,7.0,26.25,3,0,False,True,False,False,True
0,45.0,26.55,1,1,True,False,False,False,True
1,30.0,106.425,1,1,False,False,False,False,False
0,28.0,14.5,1,1,True,False,True,False,True
1,22.0,49.5,3,0,False,False,False,False,False
1,36.0,71.0,3,0,False,False,False,False,True
0,9.0,31.275,7,0,False,False,True,False,True
0,11.0,31.275,7,0,False,False,True,False,True
1,32.0,26.0,2,0,True,True,False,False,True
0,50.0,106.425,2,0,True,False,False,False,False
0,64.0,26.0,1,1,True,False,False,False,True
1,19.0,26.0,2,0,False,True,False,False,True
1,28.0,13.8625,1,1,True,True,False,False,False
0,33.0,20.525,3,0,True,False,True,False,True
1,8.0,36.75,3,0,True,True,False,False,True
1,17.0,110.8833,3,0,True,False,False,False,False
0,27.0,26.0,1,1,True,True,False,False,True
0,28.0,7.8292,1,1,True,False,True,True,False
1,22.0,7.225,1,1,True,False,True,False,False
1,22.0,7.775,1,1,False,False,True,False,True
0,62.0,26.55,1,1,True,False,False,False,True
1,48.0,39.6,2,0,False,False,False,False,False
0,28.0,227.525,1,1,True,False,False,False,False
1,39.0,79.65,3,0,False,False,False,False,True
1,36.0,17.4,2,0,False,False,True,False,True
0,28.0,7.75,1,1,True,False,True,True,False
0,40.0,7.8958,1,1,True,False,True,False,True
0,28.0,13.5,1,1,True,True,False,False,True
0,28.0,8.05,1,1,True,False,True,False,True
0,28.0,8.05,1,1,False,False,True,False,True
0,24.0,24.15,3,0,True,False,True,False,True
0,19.0,7.8958,1,1,True,False,True,False,True
0,29.0,21.075,5,0,False,False,True,False,True
0,28.0,7.2292,1,1,True,False,True,False,False
1,32.0,7.8542,1,1,True,False,True,False,True
1,62.0,10.5,1,1,True,True,False,False,True
